31-C	SLAB TO ENGINEERS DESIGN. REFER SPECIFICATION ADDENDUM C.	31 CONCRETE		
55-DD	INBUILT CUSTOM STORAGE UNIT TO BATHROOMS. 2 DOORS, OPEN SHELVES ABOVE.	55 JOINERY FIXTURES & HARDWARE		
55-FF	19mm PREPRIMED H3.1 TIMBER JAMB. 	55 JOINERY FIXTURES & HARDWARE		
55-EE	HANDY SHELFSINGLE SHELVING BRACKETS (250) ON ADJUSTABLE TRACKS 2 WHITE 250mm DEEP MELTECA SHELVES.	55 JOINERY FIXTURES & HARDWARE		
55-GG	TOWEL RING	55 JOINERY FIXTURES & HARDWARE		
55-HH	SOAP DESPENSER	55 JOINERY FIXTURES & HARDWARE		
60 SPLASHBACKS				
60-A	KITCHEN SPLASHBACK - REFER ADDENDUM L FOR SELECTION.	60 SPLASHBACKS		
64 RESILIENT SURFACING	RESILIENT SURFACING			
64-A	VINYL FLOORING	64 RESILIENT SURFACING		
64 RESILIENT 	VINYL FLOORING TO 	64 RESILIENT 		
64-D	GARAGE CONCRETE FLOOR, POWER FLOAT FINISH	64 RESILIENT SURFACING		
64-E	VINYL FLOORING TO ENTRY & LAUNDRY, NON-SLIP	64 RESILIENT SURFACING		
64-F	SELECTED 300x600mm CERAMIC TILES TO SHOWER WALL, OVER WATERPROOFING MEMBRANE INSTALLED IN ACCORDANCE WITH MANUFACTURERS INSTRUCTIONS & SPECIFICATIONS, REFER TO ADDENDUM R.	64 RESILIENT SURFACING		
64-G	SELECTED 600x600mm CERAMIC TILES TO GIB AQUALINE, OVER WATERPROOFING MEMBRANE INSTALLED IN ACCORDANCE WITH MANUFACTURERS INSTRUCTIONS & SPECIFICATIONS	64 RESILIENT SURFACING		
65 CARPETING	CARPETING			
65-A	SELECTED CARPET PERIMETER FIXED ON UNDERLAY	65 CARPETING		
71 LIQUID SUPPLY	LIQUID SUPPLY			
71-A	HOT WATER CYLINDER MOUNTED IN OVERFLOW TRAY IN CEILING SPACE WITH SEISMIC RESTRAINT. REFER SPECIFICATION ADDENDUM L FOR SELECTION.	71 LIQUID SUPPLY		
74-A	80 DIA COLOUR STEEL DOWNPIPE TO CONNECT TO STORMWATER SYSTEM	74 LIQUID DISPOSAL		
74-B	50 DIA SEWER VENT TO DISCHARGE 150mm ABOVE ROOF PLANE	74 LIQUID DISPOSAL		
77-B	2 POINT RCD POWER OUTLET INSTALLED BY ELECTRICAL CONTRACTOR	77 ELECTRICAL		
77-C	WASHING MACHINE TO BE SUPPLIED BY RESIDENT	77 ELECTRICAL		
77-D	DRYER TO BE SUPPLIED BY RESIDENT. CARPENTRY TO PROVIDE BLOCKING FOR DRYER FIXING	77 ELECTRICAL		
77-E	CEILING MOUNTED DVS DEFECT-O CEILING EXTRACT DUCT CONNECTION	77 ELECTRICAL		
77-F	FRIDGE TO BE SUPPLIED BY RESIDENT	77 ELECTRICAL		
77-G	OVEN TO BE SUPPLIED BY SUMMERSET & INSTALLED BY ELECTRICAL CONTRACTOR	77 ELECTRICAL		
77-I	DISHWASHER TO BE SUPPLIED BY SUMMERSET & INSTALLED BY ELECTRICAL CONTRACTOR. REFER TO ADDENDUM L FOR SELECTIONS.	77 ELECTRICAL		
77-K	MICROWAVE TO BE SUPPLIED BY RESIDENT. ALLOW POWER POINT OUTLET TO REAR OF OPEN SHELF.	77 ELECTRICAL		
77-L	ALLOW OVEN, RANGE HOOD, COOK TOP & 2 POINT POWER OUTLET IN THIS LOCATION	77 ELECTRICAL		
77-O	COOKTOP REQUIRES FISHER PAYKEL REQUIERE A THERMAL PROTECTION BARRIER FITTED UNDER HOBS WHERE NO OVEN DIRECTLY UNDERNEATH	77 ELECTRICAL		
77-Q	GENERATOR AND GENERATOR FLUE	77 ELECTRICAL		
83 LANDSCAPING	LANDSCAPING			
83-B	CONCRETE FOOTPATHS AND DRIVEWAYS BROOM FINISH WITH BLACK OXIDE COLOURED CONCRETE MIX (4kg/m2.) MOWING STRIPS- PROVIDE 250x75mm MOWING STRIP TO BASE OF BUILDINGS.	83 LANDSCAPING		
